candidate_idx	isc_score	participant_ids
0	0.3001152099	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN026,sub-CN028,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
1	0.2850204458	sub-CN002,sub-CN003,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN021,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
2	0.2992668283	sub-CN001,sub-CN003,sub-CN004,sub-CN005,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN029,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
3	0.3090048707	sub-CN002,sub-CN003,sub-CN004,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN029,sub-CN030,sub-CN031,sub-CN033,sub-CN034,sub-CN037
4	0.3099751063	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN005,sub-CN007,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN027,sub-CN028,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN037
5	0.2850052570	sub-CN004,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN013,sub-CN015,sub-CN017,sub-CN018,sub-CN019,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN029,sub-CN030,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
6	0.2985528465	sub-CN001,sub-CN002,sub-CN003,sub-CN004,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN021,sub-CN022,sub-CN023,sub-CN024,sub-CN026,sub-CN027,sub-CN029,sub-CN031,sub-CN032,sub-CN034,sub-CN036,sub-CN037
7	0.2970841860	sub-CN001,sub-CN002,sub-CN003,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN022,sub-CN023,sub-CN024,sub-CN026,sub-CN028,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036,sub-CN037
8	0.3093872959	sub-CN001,sub-CN003,sub-CN004,sub-CN006,sub-CN007,sub-CN008,sub-CN009,sub-CN010,sub-CN011,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN019,sub-CN020,sub-CN021,sub-CN022,sub-CN024,sub-CN025,sub-CN026,sub-CN029,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036
9	0.3128933666	sub-CN001,sub-CN003,sub-CN005,sub-CN006,sub-CN007,sub-CN008,sub-CN010,sub-CN011,sub-CN013,sub-CN014,sub-CN015,sub-CN016,sub-CN017,sub-CN018,sub-CN020,sub-CN021,sub-CN022,sub-CN023,sub-CN025,sub-CN026,sub-CN027,sub-CN028,sub-CN030,sub-CN031,sub-CN032,sub-CN033,sub-CN034,sub-CN036
