candidate_idx	isc_score	participant_ids
0	0.2677204815	sub-EN059,sub-EN061,sub-EN062,sub-EN065,sub-EN067,sub-EN068,sub-EN069,sub-EN070,sub-EN077,sub-EN078,sub-EN082,sub-EN083,sub-EN084,sub-EN086,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN100,sub-EN101,sub-EN103,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN109,sub-EN110
1	0.2857710624	sub-EN057,sub-EN061,sub-EN062,sub-EN063,sub-EN064,sub-EN065,sub-EN070,sub-EN072,sub-EN073,sub-EN076,sub-EN077,sub-EN081,sub-EN082,sub-EN084,sub-EN086,sub-EN089,sub-EN092,sub-EN094,sub-EN095,sub-EN097,sub-EN098,sub-EN099,sub-EN100,sub-EN103,sub-EN105,sub-EN109,sub-EN114,sub-EN115
2	0.2844032694	sub-EN058,sub-EN059,sub-EN063,sub-EN064,sub-EN065,sub-EN067,sub-EN068,sub-EN070,sub-EN072,sub-EN073,sub-EN076,sub-EN077,sub-EN078,sub-EN082,sub-EN083,sub-EN087,sub-EN088,sub-EN089,sub-EN092,sub-EN095,sub-EN097,sub-EN098,sub-EN100,sub-EN103,sub-EN105,sub-EN108,sub-EN110,sub-EN115
3	0.2722273692	sub-EN058,sub-EN059,sub-EN061,sub-EN067,sub-EN069,sub-EN070,sub-EN074,sub-EN075,sub-EN077,sub-EN081,sub-EN082,sub-EN084,sub-EN086,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN095,sub-EN096,sub-EN098,sub-EN099,sub-EN100,sub-EN101,sub-EN103,sub-EN105,sub-EN106,sub-EN108,sub-EN114
4	0.2549240656	sub-EN058,sub-EN062,sub-EN064,sub-EN065,sub-EN072,sub-EN073,sub-EN075,sub-EN078,sub-EN084,sub-EN087,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN096,sub-EN098,sub-EN099,sub-EN101,sub-EN103,sub-EN106,sub-EN108,sub-EN109,sub-EN113,sub-EN114,sub-EN115
5	0.2781241066	sub-EN057,sub-EN058,sub-EN059,sub-EN062,sub-EN064,sub-EN069,sub-EN073,sub-EN077,sub-EN078,sub-EN079,sub-EN081,sub-EN086,sub-EN088,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN097,sub-EN098,sub-EN100,sub-EN103,sub-EN104,sub-EN105,sub-EN110,sub-EN114,sub-EN115
6	0.2569854819	sub-EN057,sub-EN058,sub-EN061,sub-EN063,sub-EN067,sub-EN068,sub-EN072,sub-EN074,sub-EN075,sub-EN077,sub-EN078,sub-EN081,sub-EN082,sub-EN086,sub-EN088,sub-EN091,sub-EN092,sub-EN093,sub-EN095,sub-EN098,sub-EN099,sub-EN103,sub-EN104,sub-EN106,sub-EN108,sub-EN109,sub-EN114,sub-EN115
7	0.2830634845	sub-EN057,sub-EN059,sub-EN061,sub-EN062,sub-EN063,sub-EN064,sub-EN067,sub-EN068,sub-EN073,sub-EN077,sub-EN083,sub-EN084,sub-EN087,sub-EN089,sub-EN091,sub-EN092,sub-EN094,sub-EN095,sub-EN096,sub-EN097,sub-EN098,sub-EN099,sub-EN103,sub-EN104,sub-EN105,sub-EN106,sub-EN108,sub-EN109
8	0.3019074508	sub-EN057,sub-EN058,sub-EN062,sub-EN064,sub-EN065,sub-EN068,sub-EN069,sub-EN070,sub-EN072,sub-EN075,sub-EN076,sub-EN077,sub-EN078,sub-EN079,sub-EN081,sub-EN083,sub-EN084,sub-EN087,sub-EN093,sub-EN098,sub-EN101,sub-EN103,sub-EN104,sub-EN106,sub-EN109,sub-EN110,sub-EN114,sub-EN115
9	0.2765744475	sub-EN059,sub-EN061,sub-EN065,sub-EN068,sub-EN069,sub-EN070,sub-EN073,sub-EN074,sub-EN076,sub-EN079,sub-EN081,sub-EN083,sub-EN086,sub-EN087,sub-EN089,sub-EN091,sub-EN092,sub-EN093,sub-EN094,sub-EN095,sub-EN096,sub-EN101,sub-EN105,sub-EN108,sub-EN109,sub-EN110,sub-EN113,sub-EN114
